cotacaoCompra.cotacaoVenda.dataHoraCotacao
1.8003;1.8011;2000-01-03 19:43:00.0
1.8329;1.8337;2000-01-04 19:13:00.0
1.8536;1.8544;2000-01-05 19:11:00.0
1.8453;1.8461;2000-01-06 19:16:00.0
1.8273;1.8281;2000-01-07 19:23:00.0
1.8153;1.8161;2000-01-10 19:12:00.0
1.8211;1.8219;2000-01-11 19:19:00.0
1.8306;1.8314;2000-01-12 19:12:00.0
1.8185;1.8193;2000-01-13 19:15:00.0
1.7989;1.7997;2000-01-14 19:15:00.0
1.7949;1.7957;2000-01-17 19:13:00.0
1.7916;1.7924;2000-01-18 19:19:00.0
1.7976;1.7984;2000-01-19 19:14:00.0
1.7793;1.7801;2000-01-20 19:10:00.0
1.7776;1.7784;2000-01-21 19:09:00.0
1.7644;1.7652;2000-01-24 19:14:00.0
1.7733;1.7741;2000-01-25 19:10:00.0
1.7761;1.7769;2000-01-26 19:31:00.0
1.7745;1.7753;2000-01-27 19:24:00.0
1.7867;1.7875;2000-01-28 19:10:00.0
1.8016;1.8024;2000-01-31 19:22:00.0
1.7924;1.7932;2000-02-01 19:13:00.0
1.7892;1.79;2000-02-02 19:14:00.0
1.7771;1.7779;2000-02-03 19:10:00.0
1.7777;1.7785;2000-02-04 19:11:00.0
1.7651;1.7659;2000-02-07 19:17:00.0
1.7646;1.7654;2000-02-08 19:42:00.0
1.7624;1.7632;2000-02-09 19:24:00.0
1.7687;1.7695;2000-02-10 19:22:00.0
1.7639;1.7647;2000-02-11 19:21:00.0
1.7691;1.7699;2000-02-14 19:17:00.0
1.7756;1.7764;2000-02-15 19:16:00.0
1.7724;1.7732;2000-02-16 19:20:00.0
1.7732;1.774;2000-02-17 19:16:00.0
1.7697;1.7705;2000-02-18 19:12:00.0
1.7776;1.7784;2000-02-21 19:16:00.0
1.7817;1.7825;2000-02-22 19:20:00.0
1.7878;1.7886;2000-02-23 19:11:00.0
1.7771;1.7779;2000-02-24 19:16:00.0
1.7733;1.7741;2000-02-25 19:17:00.0
1.778;1.7788;2000-02-28 19:18:00.0
1.7677;1.7685;2000-02-29 19:09:00.0
1.767;1.7678;2000-03-01 19:19:00.0
1.7592;1.76;2000-03-02 19:10:00.0
1.7503;1.7511;2000-03-03 19:17:00.0
1.749;1.7498;2000-03-08 19:17:00.0
1.7335;1.7343;2000-03-09 19:11:00.0
1.7378;1.7386;2000-03-10 19:14:00.0
1.7494;1.7502;2000-03-13 19:12:00.0
1.7364;1.7372;2000-03-14 19:16:00.0
1.7423;1.7431;2000-03-15 19:08:00.0
1.7349;1.7357;2000-03-16 19:15:00.0
1.7399;1.7407;2000-03-17 19:10:00.0
1.738;1.7388;2000-03-20 19:10:00.0
1.7373;1.7381;2000-03-21 19:13:00.0
1.7297;1.7305;2000-03-22 19:09:00.0
1.7234;1.7242;2000-03-23 19:20:00.0
1.7226;1.7234;2000-03-24 19:10:00.0
1.7354;1.7362;2000-03-27 19:17:00.0
1.7448;1.7456;2000-03-28 19:13:00.0
1.7371;1.7379;2000-03-29 19:12:00.0
1.7514;1.7522;2000-03-30 19:16:00.0
1.7465;1.7473;2000-03-31 19:24:00.0
1.7399;1.7407;2000-04-03 19:18:00.0
1.7417;1.7425;2000-04-04 19:15:00.0
1.7524;1.7532;2000-04-05 19:15:00.0
1.7415;1.7423;2000-04-06 19:19:00.0
1.7431;1.7439;2000-04-07 19:08:00.0
1.7379;1.7387;2000-04-10 19:16:00.0
1.744;1.7448;2000-04-11 19:10:00.0
1.7463;1.7471;2000-04-12 19:32:00.0
1.7625;1.7633;2000-04-13 19:14:00.0
1.7825;1.7833;2000-04-14 19:24:00.0
1.7865;1.7873;2000-04-17 19:18:00.0
1.7688;1.7696;2000-04-18 19:13:00.0
1.7654;1.7662;2000-04-19 19:14:00.0
1.7776;1.7784;2000-04-20 19:14:00.0
1.7908;1.7916;2000-04-24 19:15:00.0
1.788;1.7888;2000-04-25 19:14:00.0
1.7977;1.7985;2000-04-26 19:14:00.0
1.8075;1.8083;2000-04-27 19:10:00.0
1.8059;1.8067;2000-04-28 19:17:00.0
1.8;1.8008;2000-05-02 19:10:00.0
1.8154;1.8162;2000-05-03 19:15:00.0
1.8136;1.8144;2000-05-04 19:15:00.0
1.811;1.8118;2000-05-05 19:12:00.0
1.805;1.8058;2000-05-08 19:06:00.0
1.8071;1.8079;2000-05-09 19:12:00.0
1.8161;1.8169;2000-05-10 19:19:00.0
1.8154;1.8162;2000-05-11 19:10:00.0
1.8258;1.8266;2000-05-12 19:14:00.0
1.8374;1.8382;2000-05-15 19:12:00.0
1.819;1.8198;2000-05-16 19:16:00.0
1.8284;1.8292;2000-05-17 19:15:00.0
1.8297;1.8305;2000-05-18 19:15:00.0
1.8446;1.8454;2000-05-19 19:23:00.0
1.846;1.8468;2000-05-22 19:13:00.0
1.8529;1.8537;2000-05-23 19:22:00.0
1.8529;1.8537;2000-05-24 19:25:00.0
1.8384;1.8392;2000-05-25 19:14:00.0
